lemma	lat	eng
memor	virtūtis tuae memorēs nōn erant	they were not mindful of your courage
memoro	majōrum fortia facta memoravit	he related the brave deeds of the elders
memoria	fuit in caesare ingenium, ratiō et memoriā	Caesar had talent, knowledge, and memory
memoria	recēns memoriā parentīs	the recent memory of a parent
memoria	usque ad meam memoriam	up to my own time
mens	hominēs habent mentem acrem et vigentem	men have a sharp and vigorous mind
mens	permulta mihi in mentem veniebant	very many thoughts were coming into my head
mensa	lūmen in mēnsā appositum	a lamp set on the table
merces	verres mercēde maiestatem reī pūblicae minuit	Verres decreased the greatness of the republic with bribery
mereo	multōrum ōdium meruit	he deserved the hatred of many
mereo	equestria stīpendia meruit	he earned an equestrian wage
mereor	vir dē rē pūblicā optimē meritus	a man who served the state well
meta	equi circum metam currunt	the horses run around the turning-point
meta	metas pervēnit ad aevi	he arrived at the end of his life
metuo	metuo nē sērō veniam	I am afraid that I will come late
metuo	tē suīs mātrēs metuunt iuvencis	you make mothers fear for their children
metus	stoici definiunt formidinem metum permanentem	The Stoics define terror as a permanent fear
miles	ad arma mīlitēs concurrunt	the soldiers rush to arms
militaris	scientiā reī mīlitāris	knowledge of military matters
militia	domī militiaeque	at home and in war
mille	tria milia mīlitum captī sunt	three thousand soldiers were captured
minae	minae clodii modice mē tangunt	the threats of Clodius touch me very little
minuo	verres mercēde maiestatem reī pūblicae minuit	Verres decreased the greatness of the republic with bribery
miror	ejus temeritatem satis mīrārī nōn possum	I cannot be surprised enough at his foolhardiness
miror	ōrātiōnēs tuās miror	I marvel at your orations
misceo	aestū miscentur arēnae	the sands are stirred up by the waves
misceo	miscēre utile dulci	to mix useful with pleasant
misceo	magnō miscetur murmure caelum	the sky is stirred up with a great roar
miseror	fortūnam suam miserabatur	he was saddened by his misfortune
miseria	eīs ōtium et dīvitiae onerī miseriaeque fuērunt	for them, leisure and riches were both a burden and a misery
mitto	saxa certatim mīsērunt	they threw rocks in a contest
mitto	speculatores ad oppidum mittere	to send the scouts to town
mobilis	genus hominum mobile et infidum	the race of men is fickle and faithless
modestia	neque modum neque modestiam victōrēs habuērunt	the victors had neither boundary nor restraint
modo	biduum modo laetati sunt	for two days they were almost happy
modo	nōn modo reus improbus adductus est, sed etiam diligens accūsātor venit	not only was the shameless defendant led in, but the strict accuser
modo	quōs modo fugere crēdēbant ad sē īre vīdērunt	they see the men come to them who they recently believed had fled
modo...modo	īre modō ōcius, modo consistere	to go rather quickly at one moment, to stand still at another
modo	manent ingenia senibus, modo permaneat studium	old people keep their talents, provided that they keep their eagerness
modus	nāvium modum formamque demonstravit	he pointed out the amount and beauty of the ships
modus	easdem rēs aliīs modīs efferre possumus	we can express the same thing in different ways
moenia	moenia defensoribus erant vacuā	the walls lacked guards
moles	tantae molis erat Rōmānum condere gentem	it was a task of such a great size to put together the Roman race
moles	aditus īnsulae munitus erat mirificis molibus	the entrance of the island was guarded by impressive harbor works
molior	num montēs mōlīrī sēde suā paramus?	should we prepare to move mountains from their foundations?
mollis	falculam placidum mollemque reddidi	I made Falcula calm and gentle
moneo	memorem mones	you remind me of something I already knew
moneo	tē moneō ut tuum officium meminerīs	I warn you to remember your duty
mons	mīlitēs nātūram montis cognōvērunt	the soldiers have become acquainted with the nature of the mountain
monstrum	mōnstra et īrae deum indicia cernebat	he was discerning the omens and signs of the anger of the gods
monumentum	veterum monumenta virōrum	monuments of the men of old
mora	perīculum in morā	there is danger in delay
moror	mīsit equitatum quī agmen moraretur	he sent the cavalry to hold back the column
moror	nec ultrā mōrātus	without further delay
morbus	morbus est habitus corporis contrā nātūram	illness is an unnatural condition of the body
morior	comitemne sorōrem sprēvistī moriēns?	have you spurned your sister as a companion in death?
mors	tota vīta nihil aliud quam ad mortem iter est	all life is nothing other than a journey toward death
mortalis	omnēs mortālēs sē laudārī optant	all mortals wish to be praised
mos	mōrēs majōrum	the customs of the ancestors
motus	terra ingentī mōtū concussa est	the earth was shaken by a huge earthquake
moveo	locō movērī nōn poterat	it could not be moved from its place
moveo	ūna cūra cor meum movet	one concern moves my heart
mulier	mediam mulierem complectitur	he wraps his arms around his wife’s waist
multitudo	in omnēs partēs dispersa est multitūdō	the crowd scattered in all directions
multus	quamvīs multōs nominatim prōferre possum	I can mention by name any number of men
mundus	terrā in mediō mundō sita est	the earth is located in the middle of the universe
munio	urbs munita terrā marique	the city was fortified on land and at sea
munus	exsequi cōnsulis officia et mūnera	to fulfill the duties and tasks of a consul
munus	aliquem mūnere donare	to bestow a gift upon someone
murmur	magnō miscetur murmure caelum	the sky is stirred up with a great roar
murus	dē mūrō sēsē deiecērunt	they cast themselves down from the wall
musa	incussit suavem mī in pectus amōrem musarum	he inspired in my heart a sweet love of the muses
muto	ūna epistula totum mūtāverat hominem	one letter had changed the man completely
muto	mūtātō equō ēvāsit	he escaped after changing his horse
mutuus	amor mutuus	mutual love
nanciscor	nanctus est idoneam ad navigandum tempestātem	he got suitable weather for sailing
narro	tibi sōlī ea nārrāre velim	I would like to tell these things to you alone
nascor	amplissimō genere nātus	a son from the grandest stock
natio	nātiōnēs nātae servituti	peoples born for slavery
natura	satis nōs instruxit ratiōne nātūrā	nature has sufficiently provided us with reason
natura	mīlitēs nātūram montis cognōvērunt	the soldiers have become acquainted with the nature of the mountain
natus	homō magnō nātū	a man of great birth
navis	nāvēs longās aedificandas curavit	he had war ships built
ne	tune tē esse militem dīcere audēs?	do you have the nerve to say you are a soldier?
ne	scisne Publiliusne itūrus sit in Africam?	do you know if Publilius is going to go to Africa?
ne	caesar suīs imperavit nē tēla reicerent	Caesar commanded his men not to throw back the spears
ne quidem	eīs rēbus nē dī quidem immortālēs parēs esse possint	not even the immortal gods are able to be equal to these affairs
ne quidem	sī quid numquam orītur, nē occidit quidem umquam	if something never rises, it also does not ever fall
nec	mors nec ad mortuōs pertinet nec ad vīvōs	death is a concern neither to the dead nor the living
neco	complūrēs hostēs necati sunt	many of the enemies have been killed
necesse	necesse est mihi dē mē ipsō dīcere	I must speak about myself
necessitas	tempori cēdere, id est necessitati parere, sapientis est	to yield to time, that is, to give way to necessity, is the mark of a wise man
necto	nectere dolum	to contrive a trick
nefas	ei nihil umquam nefās fuit	for him, nothing was ever too impious
nego	ille negat sē numidam pertimescere	he denies that he fears the Numidian
nego	patriae opem negat	he denies aid to his fatherland
neglego	īram meam neglexit	he ignored my anger
negotium	negōtium municipii administrare	to manage the business of a free town
negotium	in ōtiō dē negōtiīs cogitavit	in times of leisure he thought about business 
negotium	catō siciliam tenēre nūllō negōtiō potuit	Cato could hold Sicily without any difficulty
nemo	ita fit ut omnīnō nēmō possit esse beātus	thus it happens that no one is able to be completely happy
nemus	consonat omne nemus strepitū	the whole grove rang with the din
nequeo	demosthenes rho dīcere nequībat	Demosthenes was not able to pronounce the letter rho
nervus	emicuit nervō penetrabile telum	the piercing arrow sprang forth from the string
nescio	nesciō an hoc futūrum sit	I know not whether this will be
nescius	nescius impendentis malī	ignorant of the shameful evil
neve	cohortātus est nē eōs frūmentō nēve alia rē iuvarent	he admonished them not to help them with grain or in any other way
nex	in līberōs vītae necisque potestātem habent	they have the power of life and death over their children
nihil	nihil omnīnō cūrō	I care about nothing at all
nimbus	dea nimbo succīncta	the goddess surrounded by a cloud
nimis	nimis jam dīxī	I’ve already said too much
nimis	nimium diū	for a very long time
nisi	memoriā minuitur nisi eam exerceas	memory is weakened unless you should keep it busy
nisi	stāre respublica nisi ūnō regente nōn potest	the reublic cannot stand except with a single man ruling
nitor	cōnsiliō atque auctōritāte Cicerōnis nītēbātur	he depended on the counsel and authority of Cicero
nitor	summā vī cirtam irrumpere nītitur	an effort to break into Cirta is made with the greatest force
niveus	omnibus hīs nivea cinguntur tempora vitta	all these men’s temples are girded with snow-white head-bands
nobilis	nōbilī genere nātī sunt	they are of noble birth
noceo	nōn sōlum reī pūblicae sed etiam tibi ipsī nocebis	you will harm not only the republic but also you yourself
nocte	noctū vigilias agunt	they keep watch by night
nocturnus	nocturnos ciet mānēs dido	Dido calls the shades from night
nolo	nōlī putāre quemquam meliōrem fuisse	Don’t think that anyone was better
nomen	vōs mē imperātōris nōmine appellavistis	you all addressed me with the title of emperor
nondum	nōndum maturus imperiō ascanius erat	Ascanius was not yet ready for power
nonnullus	Rhodanus nonnullis locīs vado trānsitur	the Rhone can be crossed by a shallow place in several locations
nosco	linguam etruscam probe nōverat	he had learned the Etruscan tongue extremely well
noster	hostēs impetum in nostrōs fēcērunt	they made an attack on our enemies
novus	homō novus	a self-made man
novus	caedem prīncipis et rēs novās cōgitat	he contemplates the murder of the emperor and revolution
novissimus	agmen novissimum	the rear army
nox	ad multam noctem pugnātum est	the battle lasted until late at night
nubo	haec mulier ipsī oppianico nupsit	this woman married Oppianicus himself
nubes	ventī vīs nūbēs differt	the force of the wind scatters the clouds
nudo	agrōs populando nūdāvit	he laid bare the fields by pillaging
nullus	nūllīus apud mē auctōritās major est quam m . lepidī	no one’s judgment is greater in my book than that of Marcus Lepidus
numen	dī immortālēs nūmine et auxiliō urbis tēcta defendunt	the immortal gods protect the roofs of the city with divine will and aid
numerus	oppida omnia, numerō ad duodecim, incendunt	they burn all the towns, about twelve in number
numquam	numquam minus sōlus sum quam cum sōlus sum	I am never less lonely than when I am alone
nunc	tribūnī plēbis nunc fraudem, nunc neglegentiam cōnsulum accusabant	the tribunes of the people were reproaching now the deceit, now the negligence of the consuls
nuntio	cāsū accīdit ut id prīmus nūntiāret	it happened by chance that he first reported it
nuntius	dē quinto fratre tristes nōbīs nūntiī vēnērunt	sad news came to us about my brother Quintus
ob	mors ob oculōs saepe versata est	death often lingered before the eyes
ob	pecūniam accēpit ob necem hospitis suī	he received money in return for the murder of his host
ob	quam ob rem	for which reason
obicio	cibum canibus objēcit	he threw food to the dogs
obicio	ignobilitatem mihi objēcit	he taunted me for my low birth
obeo	iulia suprēmum diem obiit	Iulia died
obliviscor	dum tū ades, virginēs sunt oblitae suī	while you are here, the girls have forgotten themselves
obscurus	aut falsa aut certē obscūra opīniō	a conjecture either false or at least unclear
obsideo	omnēs aditus armātī obsidebant	armed men were blockading all approaches
obsto	meīs commodis obstitit	it stood in the way of my advantage
obstupesco	ejus aspectū obstupuī	I was stupefied by the sight of him
obtineo	hispāniam citeriōrem cum imperiō obtinebat	he was governor in nearer Spain
obtineo	Rōmānī rem obtinuērunt	the Romans gained the victory
obviam	sē mihi obviam obtulit	he presented himself to meet me
obvius	obvia eī camilla occurrit	Camilla ran up to meet him
occido	ante sōlem occāsum	before the sun sets
occido	sī quid numquam orītur, nē occidit quidem umquam	if something never rises, it also does not ever fall
occido	sulla inopiā hostium occidendi fīnem fēcit	Sulla made an end of killing because of the indigence of his enemies
occulto	sē latebrīs occultavit	he concealed himself in a hiding place
occultus	occulta quaedam et quasi involūta aperuit	he revealed certain hidden and, as it were, complicated things
occupo	rēgnum occupāvit	he seized the kingdom
occurro	malevolentiae hominum occurrit	he resisted the ill will of men
occurro	facilius eōrum facta occurrent mentibus vestrīs	their deeds will more easily present themselves to your minds
oculus	videō in mē omnium vestrum oculōs esse conversos	I see that all of your eyes are turned on me
odi	oderint dum metuant	provided that they are afraid, let them hate
odium	ōdī odioque sum Rōmānīs	I hate and I am hated by the Romans
offero	sē mihi obviam obtulit	he presented himself to meet me
offero	quod cuique prōmptum erat, obtulērunt	they showed what was clear to everyone
officio	timor animī auribus officit	the mind’s fear stands in the way of the ears
officium	exsequi cōnsulis officia et mūnera	to fulfill the duties and tasks of a consul
olim	forsan et haec ōlim meminisse iuvabit	perhaps one day it will be pleasing to remember even these things
omitto	omisso discrīmine	without discrimination
omitto	innumerabiles virōs omittō	I’m passing over countless men
omnino	ita fit ut omnīnō nēmō possit esse beātus	thus it happens that no one is able to be completely happy
omnino	erant omnīnō itinera duo	there were only two ways
omnis	ad ūnum omnēs in castra pervēnērunt	every one of them reached the camp
onero	mē amoenitate oneravit	it has overwhelmed me with pleasantness
onus	eīs ōtium et dīvitiae onerī miseriaeque fuērunt	for them, leisure and riches were both a burden and a misery
opacus	ībant per opācā locorum	they go through shady places
opera	operam mihi reddidisti	you have served me
opinio	fuērunt in hāc opīniōne nōn paucī	there were many of this opinion
opinio	summam habuit iustitiae opinionem	he had the highest opinion of justice
oportet	nōn quia necesse sit, sed quia oportet	not since it is inevitable, but since it is proper
opperior	abi intrō, ibi mē opperire	go inside and wait for me there
oppidum	dein capuam pervēnit, in oppidum magnum	then he arrived in Capua, a great town
opportunus	haec eī satis opportune accidērunt	these things happened to him suitably enough
opprimo	superba dominātiō tandem oppressa est	finally the tyrannical oppression has ended
oppugno	mē pecūniā oppugnavit	he attacked me because of money
ops	opem mihi ultimō in discrīmine tulit	he helped me in extreme danger
ops	in bonīs numerabis dīvitiās, honōrēs, opēs	among the good you will reckon riches, honors, resources
opulentus	zama, oppidum armīs virisque opulentum	Zama, a town weathy in arms and men
opus	oppidum nātūrā et opere munitum	a town fortified by nature and workmanship
opus	tuō adventū nōbīs opus est maturo	we need you to arrive quickly
oro	ipse prō sē ōrāvit	he argued his case himself
oro	ōrāvit ab artorio nē in castrīs remaneret	he begged Artorius not to remain in the camp
oratio	quālīs homō, tālis ōrātiō	such as the man is, so is his speech
oratio	hāc ōrātiōne habita conversae sunt omnium mentes	since this speech was held, everyone has changed their mind
orbis	orbis terrārum	the orb of the earth
ordo	fātum appellō ordinem seriemque causarum	I recognize fate as the order and succession of causes
ordo	auxilia rēgis nūllō ōrdine iter fēcerant	the auxiliary troops of the king had made the journey in no formation
ordo	eum absentem in amplissimum ordinem cooptavērunt	they elected him while he was absent to the most honorable class (in the Senate)
origo	thales originem rērum quaesīvit	Thales sought the origin of things
orior	sī quid numquam orītur, nē occidit quidem umquam	if something never rises, it also does not ever fall
os	in omnium ōre est	it is in everyone’s mouth
os	incedunt per ōra vestra magnificī	they march boastfully before your faces
os	māter ossa in sīnum lēgit	the mother collected the bones into her lap
ostendo	aliīs spem, aliīs metum ostendit	he promises some, threatens others
ostendo	quid fierī vellet, ostendit	he showed what he wished to happen
otium	in ōtiō dē negōtiīs cogitavit	in times of leisure he thought about business 
otium	multitūdō īnsolēns bellī diuturnitate otii	the multitude unaccustomed to war because of the long duration of leisure
paene	paene dīxī	I almost spoke
palma	tendebat inertes moribundus palmas	dying, he stretched out his sluggish palms
palma	plurimarum palmarum gladiātor	a gladiator with very many victories
palus	caesar palūdēs siccāre volvit	Caesar wanted to drain the swamps
pando	crīnibus pāssis	with hair let loose
pando	viam alicui ad dominātiōnem pandere	to open the path to absolute dominion to someone
par	caritate nōn omnēs pariter egemus	we do not all need love in the same way
par	eīs rēbus nē dī quidem immortālēs parēs esse possint	not even the immortal gods are able to be equal to these affairs
par	pār est et ab hoste doceri	it is fit to be taught even be an enemy
paro	īnsidiās inimīcō parāvit	he prepared an ambush for the enemy
paro	in nemus īre parant	they prepare to go into the grove
parco	tū, romane, memento parcere subiectis et debellare superbos	you, Roman, remember to spare your subjects and to bring war to the arrogant
parens	pulchra faciet tē prole parentem	she will make you a parent with beautiful offspring
pareo	nūlla fuit cīvitās quīn caesarī pareret	there was no state that did not obey Caesar
pario	amīcōs officiō et fide peperit	he acquired friends through trust and duty
pars	belgae pertinent ad inferiorem partem flūminis rheni	the Belgians extend to the lower part of the river Rhine
pars	ā dextrā parte	from the right
pars	īre in partēs othonis	to go over to the party of Otho
partim	amīcī partim dēseruērunt mē partim etiam prodidērunt	my friends have partly deserted me, also partly betrayed me
parum	tālia facinora impūne suscepisse parum habuērunt	they did not think it was enough to have undertaken such crimes with impunity
parvus	sī parva licet compōnere magnīs	if it is permitted to compare small with great things
pasco	vīgintī ventrēs pāscō et canem	I feed twenty stomachs and a dog
pasco	bovēs pascuntur frondibus	cows feed on foliage
passim	passim vagābantur	they wandered about in every direction
passus	milia passuum ducenta	two miles
patefacio	ōdium suum in tē patefēcit	he disclosed his hatred for you
pater	patrum auctōritāte	with the sanction of the Senate
pateo	nē fugae quidem patebat locus	not even a place for flight lay open
patior	nec totam servitūtem patī possunt, nec lībertātem	they cannot endure total servitude, nor total liberty
patior	līberōs suōs palam ad sē adīre nōn patiuntur gallī	the Gauls did not allow their children to approach them publicly
patria	dulce et decorum est prō patriā mōrī	it is sweet and proper to die for your country
patrius	patria potestās	a father’s power
patrius	patrii mōrēs	the customes of the fathers
patro	ūnō diē inter duōs rēgēs coeptum atque patrātum bellum est	was was begun and brought to an end in a single day between the two kings
paucus	fuērunt in hāc opīniōne nōn paucī	there were many of this opinion
paulatim	paucōrum potentia paulātim crēvit	the power of a few grew little by little
paulum	paulum requiescebant	they rested for a little bit
paulum	paulō post	a little later
pauper	servum hunc dominī pauperis esse apparet	it is clear that the servant belongs to a poor master
paveo	puerī et mātrēs paventēs longō ōrdine stant circum	the children and mothers stand round trembling in a long train
pavor	alicui pavorem inicere	to inspire fear in someone
pax	bellō et pāce	in war and peace
pax	pāce tua dīxerim	I would have spoken with your permission
pecco	peccātīs veniam poposcit	he asked for pardon for his sins
pectus	pectora ferrō hausit	he pierced his chest with a sword
pectus	nova pectore versat cōnsilia venus	Venus meditates new plans in her heart
pecus	quid interest inter hominem et pecudem?	what lies between man and beast?
pedes	equitēs peditesque	cavalry and footsoldiers
pelagus	fragilem truci commisit pelagō ratem	he entrusted a flimsy ship to the rough sea
pello	hostēs pulsī fugatique sunt	the enemies were banished and put to flight
penates	Ilium in Italiam portat victosque penātēs	he carried Ilium and its conquered household gods into Italy
pendeo	tuī quī ex tē pendent	your people who depend upon you
pendeo	animī spē et metū pendēbant	they were uncertain at heart from hope and fear
penetro	id tiberii animum altē penetrabat	this penetrated the heart of Tiberius deeply
penitus	penitus in Apūliam sē abdidit	he hid himself within Apulia
penitus	penitus aliquid intellegere	to understand something thoroughly
per	iter per prōvinciam multō facilius erat	the journey through the province was much easier
per	per īdem tempus	throughout the same time
per	per explōrātōrēs cōnsilia hostium comperit	through scouts he learned of the enemy’s plans
per	per īram mātrem necavit	he killed his mother in anger
perago	inceptum peragere	to carry through to the end a thing begun
perago	sententiam dē eō paucīs peragam	I shall go through my opinion about it in a few words
percello	stymphalia mōnstra certa sagittā perculit herculēs	Hercules smote the Stymphalian monsters with unerring arrow
percello	timōre perculsa erat cīvitās	the state had been overcome by fear
percipio	id neque oculīs neque auribus neque ūllō sensu percipi potest	it is not possible to perceive this with the eyes, nor ears, nor any sense
percipio	ad percipiendam virtūtem adiuvare	to help her learn virtue
perdo	cīvitātem perdidit	he destroyed the state
perdo	omnēs frūctūs industriae perdidi	I have squandered all the rewards of diligence
perduco	difficile est animum perdūcere ad contemptiōnem animae	it is hard to bring a man’s mind to scorn his life
perfero	perferendīs mīlitum mandātīs idōneus habēbātur	he was considered suitable to carry out the commands of the soldiers
perfero	annuam oppugnationem pertulērunt	they endured a siege of one year
perficio	susceptum perfice mūnus	finish the duty you have undertaken
perfidia	perfidia mē fefellit	treachery deceived me
pergo	modo adversus hostēs, interdum in solitudines perrexit	sometimes he advanced against enemies, sometimes into solitary places
periculum	perīculum in morā	there is danger in delay
pereo	ictu fulminis phaethōn periit	Phaethon was slain by a lightning strike
permitto	sē in fidem Populī Rōmānī permisērunt	they surrended themselves into the protection of the Roman people
permitto	capuam mīlitibus diripiendam permisit	he gave Capua to the soldiers to be plundered
permoveo	sīve dolōre sīve metū permōtus gravius scripsi	I wrote too deeply moved by either grief or fear
pernicies	vidēbam meam perniciem cum magnā calamitāte reī pūblicae esse	I saw that my destruction was accompanied by great inury to the republic
perpetuus	nox est perpetuā ūnā dormienda	one must sleep a single, endless night
persequor	fugientes usque ad flūmen persequuntur	they pursue the fugitives all the way to the river
persuadeo	in prīmīs hoc volunt persuadere druides, nōn interīre animās	most of all the Druides want to urge this point, that souls do not die 
persuadeo	ei magnīs praemiis persuadet ut ad hostēs trānseat	he persuaded him through great rewards to go over to the side of the enemy
pertineo	belgae pertinent ad inferiorem partem flūminis rheni	the Belgians extend to the lower part of the river Rhine
pertineo	nihil ad rem pertinet	it has no bearing on the matter
pervenio	in maximam invidiam pervēnit	he arrived at the greatest envy
pes	sē caesarī ad pedēs proiecērunt	they threw themselves at Caesar’s feet
pestis	aliī alia peste absumpti sunt	they perished, some by one death, others by another
pestis	avāritia et luxuria quae pestes omnia magnā imperia evertērunt	greed and excess, plagues which have ruined all great empires
peto	rōmam petivit	he headed for Rome
peto	falsīs crīminibus eum petivit	he assailed him with false accusations
peto	frūstrā magistrātum petēbat	he sought the office in vain
philosophia	nōn quicquam aliud est philosophia quam studium sapientiae	philosophy is nothing other than an eagerness for wisdom
pietas	pietās est jūstitia adversus deōs	pietas’ is just conduct towards the gods
pietas	pietās erga patriam aut parentēs officium conservare monet	dutifulness toward one’s fatherland or parents advises to take care of one’s obligations
pietas	fēlīx nātī pietāte	fortunate in the piety of a son
placeo	illa mihi placet	she pleases me
placet	senatui placuit	it pleases the Senate
placidus	falculam placidum mollemque reddidi	I made Falcula calm and gentle
plebs	cōnsulum utique alter ex plēbe creatur	at least one consul is elected from the plebeians
plenus	galliā est plēna cīvium rōmānōrum	Gaul is full of Roman citizens
plenus	vīta plēna voluptātibus	a life full of pleasures
plerique	plerique nostrum philosophiam obesse arbitrantur	most of us think that philosophy is a hindrance
plerumque	ut plērumque fit	as it for the most part happens
poculum	levia pocula	smooth cups
poena	morte poenās fortitūdinis dēdit	he paid the penalty for his bravery with death
poeta	aut prodesse volunt aut dēlectāre poetae	poets desire either to benefit or to amuse
polliceor	pollicitus est sibi eam rem cūrae futūram esse	he promised that this matter would be of concern to him
pondus	saxa magnī ponderis	rocks of great weight
pono	corpus in lītore pōnunt	they placed the body on the shore
pono	mortem in malīs pōnit	he places death among the evil things
pono	discordiās ponite !	lay aside disagreements!
pons	pontem in flūmine faciendum curavit	he took charge of building a bridge on the river
pontifex	pontifex maximus	the chief high-priest
pontus	caelum undique et undique pontus	sky on all sides and sea on all sides
populus	Senātus Populusque Rōmānus	the Senate and the Roman People
porrigo	aciem latius porrēxit	he increased the width of the battle lines
porrigo	dextram alicui porrigere	to offer the right hand to someone
porta	portam aperīte	open the gate
portus	hūc delati portum intrāvērunt	having arrived here, we entered the port
posco	peccātīs veniam poposcit	he asked for pardon for his sins
possum	caesarī tē commendavi ut gravissime potuī	I commended you to Caesar as strongly as I was able
possum	quō plūs potestis, eō magis atroces vōs praebetis	the more power you have, the more ferocious you become
possideo	sōlum bellō captum possidet	he possesses the land conquered in war
post	nōn ita multō post	not so much afterwards
post	post montem sē occultavērunt	they hid themselves behind the mountain
post	annō post tarquinios exactos	a year after the Tarquinii had been driven out
posterus	carpe diem, quam minimē credula postero	seize the day, trust tomorrow as little as you can
postquam	eō postquam caesar pervēnit, arma et obsidēs poposcit	after Caesar came to this point, he demanded arms and hostages
postulo	postulābat magis quam petēbat	he was demanding more than requesting
poto	domum benē potus redibat	intoxicated, he was returning home
potens	humilēs laborant ubi potentēs dissident	when those in power disagree, the lowly suffer
potentia	potentia paucōrum paulātim crēvit	the power of a few men grew gradually
potestas	tribūnīcia potestās	the power of a tribune
potestas	omnibus potestātem suī conveniendi fēcit	he gave everyone the opportunity to meet him
potior	illī turpis vīta integra fāma potior fuit	for him a shameful life was preferable to an unsullied reputation
potior	adolescens, vel puer potius	a young man, or rather, a boy
praebeo	aedīlis spectāculum praebet	the aedile put on a spectacle
praebeo	sē dignum majōribus praebuit	he showed himself worthy of greater things
praeceps	ab inimīcīs praeceps agor	I am pursued by my enemies
praeceps	animus ad flagitia praeceps	a mind inclined to disgraceful acts
praecipio	jam animō victōriam praecipiebant	they figured victory to themselves beforehand
praecipio	hīs praecēpit omnēs mortālēs pecūniā aggrediantur	he instructed them to influence all men with money
praeclarus	livius, ēloquentiae ac fideī praeclarus	Livy, renowned for his eloquence and credibility
praeda	praedam prae sē agere	to drive plunder in front of oneself
praesum	omnibus druidibus praeest ūnus	one Druid is in charge of them all
praemium	ei magnīs praemiis persuadet ut ad hostēs trānseat	he persuaded him through great rewards to go over to the side of the enemy
praesens	tempus tribus partibus constat, praeterito, praesente, futuro	time consists of three parts, the past, the present, the future
praesens	fortūna nōs in praesēns dēseruit	fortune has deserted us at present
praesidium	duās legiōnēs praesidiō in castrīs relīquit	he left two legions behind at the camp for defense
praesidium	urbēs praesidiīs tenuit	he held the cities by means of garrisons
praesto	Cicerō ēloquentia cēterīs praestat	Cicero surpassed the rest in eloquence
praesto	mōtōs praestat compōnere flūctūs	it is better to calm the agitated waves
praeter	praeter castra caesaris suās cōpiās trānsduxit	he led his forces past the camp of Caesar
praeter	praeter cēterōs laborabis	you will work more than the rest
praeter	omnēs praeter ūnum	everyone except one
praetereo	jam hōs cursū, jam praeterit illōs	now in his course he passes by these, now those
praetereo	silentiō ea praetereō	I pass over these things in silence
praetor	praetor aequus et sapiēns	a fair and wise leader
pratum	prata laeta	happy meadows
precor	dēsine fāta deum flectī spērāre precando	stop hoping that the decrees of the gods will be changed by prayer
preces	omnibus precibus petivit ut in galliā relinqueretur	he sought be every entreaty to be left behind in Gaul
premo	vestīgia alicujus premere	to follow someone’s footsteps
premo	premebat eum vōce et vultū	he was importuning him with voice and face
pretium	fēmina urbem exiguam pretiō posuit	the woman has founded a small city for money
pretium	operae pretium est dīligentiam majōrum recordari	it is worthwhile to recall the diligence of the ancestors
primo	prīmō pecūniae, deinde imperiī cupīdō crēvit	first the desire for money, then the desire for power grew
princeps	prīncipēs albanorum in patrēs lēgit	he elected chiefs of the Albans to the Senate
princeps	caede messalinae convulsa principis domus est	the court was severely shaken by the murder of Messalina
principatus	cingetorigi principatus atque imperium traditum est	the leadership and command of Cingetorix were handed over
principatus	principatus et lībertās dissociabiles sunt	empire and freedom are incompatible
prior	aetāte et sapientia prior erat	he was superior in age and wisdom
priscus	priscos mōrēs revocāre	to call back ancient customs
pristinus	pristinus conjūnx	former husband
privatus	prīvātō an pūblicō cōnsiliō saguntum oppugnavit Hannibal?	did Hannibal attack Saguntum on his own account or on behalf of the state?
pro	prō castrīs dimicavērunt	they fought before the camp
pro	dulce et decorum est prō patriā mōrī	it is sweet and proper to die for your country
pro	ego ibo prō tē, sī tibi nōn libet	I will go for you, if you are not permitted
pro	proelium atrocius quam prō numerō pugnantium fuit	the battle was too fierece for the number of fighters
probo	quaeris quod ēloquentiae genus maximē probem	you ask what manner of eloquence I approve the most
probo	perfacile factū esse illīs probavit	he proved it to be very easy for them to do
procedo	adherbal eō processum esse intellexit ut rēgnum relinquendum esset	Adherbal understood that it had gotten to the point where he had to abandon his kingdom
procul	est procul in pelagō saxum	the rock is far off in the sea
prodo	memoriae prodere	to hand down to memory
prodo	amīcī partim dēseruērunt mē partim etiam prodidērunt	my friends have partly deserted me, also partly betrayed me
prosum	aut prodesse volunt aut dēlectāre poetae	poets desire either to benefit or to amuse
proelium	proelium atrōx	fierce fighting
profecto	nōn est ita, iudices, nōn est profectō	it is not so, judges, it is not truly
proficiscor	rōmam supplicēs profectī sunt	they set out for Rome as suppliants
profugio	ex proeliō profūgit in prōvinciam	he fled from battle into the province
progredior	quō āmentiae progressi sunt?	to what degree of madness have they advanced?
prohibeo	inimīcōs commeātū prohibēmus	we cut off our enemies from their supplies
prohibeo	prohibere quominus in ūnum coirent nōn potuit	he could not prohibit them from assembling into one place
proicio	sē caesarī ad pedēs proiecērunt	they threw themselves at Caesar’s feet
proinde	proinde quasi nostram mentem vidēre possimus	just as if we could see our mind
proinde	proinde aut exeant aut quiēscant	therefore let them either exit or keep quiet
proles	pulchra faciet tē prole parentem	she will make you a parent with beautiful offspring
promitto	ex voluntāte sullae omnia sē factūrum esse promisit	he promised that he would do all things according to the wish of Sulla
promptus	aliud clausum in pectore, aliud prōmptum in linguā habēbat	he had one thing confined to his heart, but another presented in his speech
